Building models/googlenet.lua model 
	
Operations estimation for image size: 256 x 256	

-----------------------------------------------------------------------------------------------	
S.No. Module Name                       Input Resolution     Neurons             Ops     % Ops	
  171 nn.SpatialMaxPooling               1 x 832 x 8 x 8       53248          479232    0.0115	
  172 nn.SpatialConvolution              1 x 832 x 8 x 8       53248        13639680    0.3275	
  173 nn.ReLU                            1 x 128 x 8 x 8        8192            8192    0.0002	
  174 nn.SpatialAveragePooling          1 x 1024 x 8 x 8       65536          200704    0.0048	
  175 nn.View                           1 x 1024 x 2 x 2        4096               0    0.0000	
  176 nn.Linear                                 4 x 1024        4096         8196000    0.1968	
  177 nn.ReLU                                   4 x 1000        4000            4000    0.0001	
-----------------------------------------------------------------------------------------------	
   Total number of trainable parameters : 6998552 	
   Total number of neurons              : 20416416	
-----------------------------------------------------------------------------------------------	
* Operations per common module *	
   + nn.ReLU                            : 4.2178e+06 Ops	
   + nn.Linear                          : 8.1960e+06 Ops	
   + nn.SpatialConvolution              : 4.1359e+09 Ops	
   + nn.SpatialMaxPooling               : 1.6663e+07 Ops	
   + nn.SpatialAveragePooling           : 2.0070e+05 Ops	
     Total                              : 4.1651e+09 Ops	
===============================================================================================	
Profiling models/googlenet.lua, 1000 iterations	
 [==================== 1000/1000 ==============>]  Tot: 3m39s | Step: 223ms     
   Forward average time on THIS CPU : 219.66 ms	
   Performance for THIS CPU         : 18.96 G-Ops/s

